iter	Passed	Remaining
0	2	2090
1	3	1610
2	4	1432
3	5	1346
4	6	1370
5	8	1347
6	9	1315
7	10	1301
8	11	1261
9	12	1245
10	13	1248
11	15	1238
12	16	1240
13	17	1247
14	19	1251
15	20	1243
16	21	1234
17	22	1235
18	23	1236
19	25	1232
20	26	1226
21	27	1231
22	28	1222
23	29	1215
24	30	1204
25	32	1199
26	33	1195
27	34	1190
28	35	1182
29	36	1180
30	37	1172
31	38	1165
32	39	1161
33	40	1161
34	42	1160
35	43	1156
36	44	1152
37	45	1148
38	46	1143
39	47	1136
40	48	1134
41	49	1129
42	50	1125
43	51	1117
44	52	1109
45	53	1100
46	54	1106
47	55	1099
48	56	1093
49	57	1087
50	58	1079
51	58	1071
52	59	1062
53	60	1057
54	61	1051
55	61	1044
56	62	1037
57	63	1030
58	64	1023
59	64	1018
60	65	1011
61	66	1005
62	67	1000
63	68	994
64	69	993
65	70	991
66	70	987
67	71	985
68	72	984
69	74	985
70	75	981
71	75	976
72	76	973
73	77	968
74	78	963
75	79	960
76	79	958
77	80	955
78	81	951
79	82	948
80	83	945
81	84	941
82	84	934
83	85	931
84	86	931
85	87	927
86	88	924
87	88	921
88	89	917
89	90	914
90	91	910
91	91	907
92	92	905
93	93	902
94	94	898
95	95	895
96	95	891
97	96	888
98	97	884
99	98	882
100	98	879
101	99	876
102	100	873
103	101	870
104	101	868
105	102	866
106	103	864
107	104	862
108	105	859
109	105	856
110	106	853
111	107	850
112	108	848
113	108	845
114	109	841
115	110	839
116	110	835
117	111	832
118	112	830
119	112	828
120	113	825
121	114	822
122	114	819
123	115	817
124	116	814
125	117	812
126	117	809
127	118	807
128	119	804
129	119	802
130	120	800
131	121	797
132	121	795
133	122	792
134	123	791
135	124	789
136	124	786
137	125	784
138	126	782
139	127	780
140	127	779
141	128	776
142	129	775
143	130	774
144	131	773
145	131	771
146	132	771
147	133	770
148	134	769
149	135	768
150	136	767
151	137	767
152	138	766
153	139	765
154	140	763
155	141	763
156	141	762
157	142	761
158	143	760
159	144	760
160	145	757
161	146	756
162	146	754
163	147	754
164	148	752
165	149	751
166	150	750
167	151	748
168	151	746
169	152	745
170	153	743
171	154	742
172	155	741
173	156	740
174	156	739
175	157	738
176	158	737
177	159	735
178	160	733
179	160	732
180	161	732
181	162	730
182	163	729
183	164	728
184	165	727
185	165	725
186	166	723
187	167	722
188	168	721
189	168	719
190	169	717
191	170	716
192	170	714
193	171	713
194	172	711
195	173	711
196	174	710
197	175	709
198	175	707
199	176	706
200	177	704
201	177	702
202	178	702
203	179	701
204	180	700
205	181	699
206	182	698
207	182	696
208	183	694
209	184	693
210	185	692
211	185	690
212	186	689
213	187	688
214	188	686
215	188	685
216	189	683
217	190	682
218	190	680
219	191	679
220	192	678
221	193	677
222	194	676
223	194	674
224	195	673
225	196	672
226	197	670
227	197	669
228	198	668
229	199	668
230	200	667
231	201	666
232	202	664
233	202	663
234	203	662
235	204	662
236	205	661
237	206	660
238	206	659
239	207	658
240	208	656
241	209	655
242	209	654
243	210	653
244	211	652
245	212	651
246	213	650
247	214	649
248	214	647
249	215	646
250	216	645
251	217	644
252	218	643
253	218	642
254	219	641
255	220	640
256	221	639
257	221	638
258	222	637
259	223	636
260	224	635
261	225	634
262	226	633
263	226	632
264	227	631
265	228	630
266	229	629
267	230	629
268	231	628
269	231	627
270	232	625
271	233	624
272	234	623
273	234	622
274	235	621
275	236	620
276	237	620
277	238	618
278	239	617
279	240	617
280	240	616
281	241	615
282	242	614
283	243	613
284	244	612
285	244	611
286	245	610
287	246	609
288	247	608
289	248	607
290	249	606
291	249	606
292	250	605
293	251	604
294	252	602
295	253	601
296	253	600
297	254	600
298	255	599
299	256	598
300	257	596
301	257	595
302	258	594
303	259	593
304	259	592
305	260	591
306	261	590
307	262	589
308	263	588
309	264	587
310	264	586
311	265	585
312	266	584
313	267	583
314	268	583
315	269	582
316	269	581
317	270	580
318	271	579
319	271	577
320	272	576
321	273	575
322	274	575
323	275	574
324	275	572
325	276	571
326	277	570
327	278	569
328	278	568
329	279	567
330	280	567
331	281	566
332	282	565
333	282	563
334	283	562
335	284	561
336	284	560
337	285	559
338	286	558
339	287	557
340	288	556
341	288	555
342	289	554
343	290	553
344	290	552
345	291	551
346	292	550
347	293	549
348	294	548
349	294	547
350	295	546
351	296	545
352	296	544
353	297	543
354	298	542
355	299	541
356	300	540
357	300	539
358	301	538
359	302	537
360	302	536
361	303	535
362	304	534
363	305	533
364	305	532
365	306	531
366	307	530
367	308	529
368	309	529
369	310	528
370	311	528
371	312	527
372	313	526
373	313	525
374	314	524
375	315	523
376	315	522
377	316	521
378	317	520
379	318	519
380	319	518
381	320	518
382	321	517
383	322	516
384	322	515
385	323	515
386	324	514
387	325	513
388	326	512
389	326	511
390	327	510
